Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2024,University of Florida,Public,Saree Makdisi,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Substantial Event Disruption,No,"Faculty members in the university's English department invited Makdisi and other Palestinian activisits (Judith Butler, Umayyah Cable, Abi Fletcher, Plestia Alaqad, and Ranna Abduljawad) for a two-day symposium titled ""Critical Conversations in the Humanities: The War in Israel/Palestine."" Less than 24 hours before the event was scheduled to begin, university administrators withdrew support citing policy violations in how the faculty organizers promoted the event. The faculty, who alleged that the cancellation constituted viewpoint discrimination, moved the event off-campus to a local church where it occurred successfully.",None.,"['https://www.chronicle.com/article/why-did-the-u-of-florida-back-away-from-a-seminar-on-the-war-in-gaza-at-the-last-minute', 'https://www.documentcloud.org/documents/25263128-edinger-letter', 'https://www.instagram.com/p/DB1LAMqOJVm/?img_index=1', 'https://www.wuft.org/education/2024-11-01/uf-cancels-academic-symposium-on-israeli-war-in-gaza', 'https://www.wcjb.com/2024/11/02/its-real-slap-face-uf-withdraws-sponsorship-israel-palestine-event/']",672a850974b8a40315bf815e
2024,University of Florida,Public,Umayyah Cable,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Substantial Event Disruption,No,"Faculty members in the university's English department invited Cable and other Palestinian activisits (Judith Butler, Saree Makdisi, Abi Fletcher, Plestia Alaqad, and Ranna Abduljawad) for a two-day symposium titled ""Critical Conversations in the Humanities: The War in Israel/Palestine."" Less than 24 hours before the event was scheduled to begin, university administrators withdrew support citing policy violations in how the faculty organizers promoted the event. The faculty, who alleged that the cancellation constituted viewpoint discrimination, moved the event off-campus to a local church where it occurred successfully.",None.,"['https://www.chronicle.com/article/why-did-the-u-of-florida-back-away-from-a-seminar-on-the-war-in-gaza-at-the-last-minute', 'https://www.documentcloud.org/documents/25263128-edinger-letter', 'https://www.instagram.com/p/DB1LAMqOJVm/?img_index=1', 'https://www.wuft.org/education/2024-11-01/uf-cancels-academic-symposium-on-israeli-war-in-gaza', 'https://www.wcjb.com/2024/11/02/its-real-slap-face-uf-withdraws-sponsorship-israel-palestine-event/']",672a85a3ad31cd0316a52ff3
2024,University of Florida,Public,Abi Fletcher,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Substantial Event Disruption,No,"Faculty members in the university's English department invited Fletcher and other Palestinian activisits (Judith Butler, Saree Makdisi, Umayyah Cable, Plestia Alaqad, and Ranna Abduljawad) for a two-day symposium titled ""Critical Conversations in the Humanities: The War in Israel/Palestine."" Less than 24 hours before the event was scheduled to begin, university administrators withdrew support citing policy violations in how the faculty organizers promoted the event. The faculty, who alleged that the cancellation constituted viewpoint discrimination, moved the event off-campus to a local church where it occurred successfully.",None.,"['https://www.chronicle.com/article/why-did-the-u-of-florida-back-away-from-a-seminar-on-the-war-in-gaza-at-the-last-minute', 'https://www.documentcloud.org/documents/25263128-edinger-letter', 'https://www.instagram.com/p/DB1LAMqOJVm/?img_index=1', 'https://www.wuft.org/education/2024-11-01/uf-cancels-academic-symposium-on-israeli-war-in-gaza', 'https://www.wcjb.com/2024/11/02/its-real-slap-face-uf-withdraws-sponsorship-israel-palestine-event/']",672a85fb092a5303253b3110
2024,University of Florida,Public,Plestia Alaqad,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Substantial Event Disruption,No,"Faculty members in the university's English department invited Alaqad and other Palestinian activisits (Judith Butler, Saree Makdisi, Umayyah Cable, Abi Fletcher, and Ranna Abduljawad) for a two-day symposium titled ""Critical Conversations in the Humanities: The War in Israel/Palestine."" Less than 24 hours before the event was scheduled to begin, university administrators withdrew support citing policy violations in how the faculty organizers promoted the event. The faculty, who alleged that the cancellation constituted viewpoint discrimination, moved the event off-campus to a local church where it occurred successfully.",None.,"['https://www.chronicle.com/article/why-did-the-u-of-florida-back-away-from-a-seminar-on-the-war-in-gaza-at-the-last-minute', 'https://www.documentcloud.org/documents/25263128-edinger-letter', 'https://www.instagram.com/p/DB1LAMqOJVm/?img_index=1', 'https://www.wuft.org/education/2024-11-01/uf-cancels-academic-symposium-on-israeli-war-in-gaza', 'https://www.wcjb.com/2024/11/02/its-real-slap-face-uf-withdraws-sponsorship-israel-palestine-event/']",672a8640614fb502bfe1e65f
2024,University of Florida,Public,Ranna Abduljawad,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Substantial Event Disruption,No,"Faculty members in the university's English department invited Abduljawad and other Palestinian activisits (Judity Butler, Saree Makdisi, Umayyah Cable, Abi Fletcher, and Plestia Alaqad) for a two-day symposium titled ""Critical Conversations in the Humanities: The War in Israel/Palestine."" Less than 24 hours before the event was scheduled to begin, university administrators withdrew support citing policy violations in how the faculty organizers promoted the event. The faculty, who alleged that the cancellation constituted viewpoint discrimination, moved the event off-campus to a local church where it occurred successfully.",None.,"['https://www.chronicle.com/article/why-did-the-u-of-florida-back-away-from-a-seminar-on-the-war-in-gaza-at-the-last-minute', 'https://www.documentcloud.org/documents/25263128-edinger-letter', 'https://www.instagram.com/p/DB1LAMqOJVm/?img_index=1', 'https://www.wuft.org/education/2024-11-01/uf-cancels-academic-symposium-on-israeli-war-in-gaza', 'https://www.wcjb.com/2024/11/02/its-real-slap-face-uf-withdraws-sponsorship-israel-palestine-event/']",672a8676092a5303253b484c
2024,Pace University,Secular,Tricia Lindsay,Campus Speech,Gender,"Faculty, Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Lindsay appeared on a panel (with Bobbie Anne Cox and Gina Arena) on “Saving Women’s Sports,"" sponsored by the campus chapter of the Federalist Society and moderated by David Skjerli and Houston Porter. The event began civily with 45 minutes of discussion, but during the Q&amp;A students and faculty began yelling at the panelists. One faculty member allegedly rushed the stage. Security escorted panelists out and the event concluded early.",None.,"['https://www.instagram.com/p/DA86jl0PSw7/', 'https://www.thefp.com/p/law-student-pace-university-title-ix-prop-1-expulsion']",672a8727092a5303253b6f58
2024,Pace University,Secular,Bobbie Anne Cox,Campus Speech,Gender,"Faculty, Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Cox appeared on a panel (with Tricia Lindsay and Gina Arena) on “Saving Women’s Sports,"" sponsored by the campus chapter of the Federalist Society and moderated by David Skjerli and Houston Porter. The event began civily with 45 minutes of discussion, but during the Q&amp;A students and faculty began yelling at the panelists. One faculty member allegedly rushed the stage. Security escorted panelists out and the event concluded early.",None.,"['https://www.instagram.com/p/DA86jl0PSw7/', 'https://www.thefp.com/p/law-student-pace-university-title-ix-prop-1-expulsion']",672a875b3671ae02e568803d
2024,Pace University,Secular,Gina Arena,Campus Speech,Gender,"Faculty, Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Arena appeared on a panel (withTricia Lindsay and Bobbie Anne Cox) on “Saving Women’s Sports,"" sponsored by the campus chapter of the Federalist Society and moderated by David Skjerli and Houston Porter. The event began civily with 45 minutes of discussion, but during the Q&amp;A students and faculty began yelling at the panelists. One faculty member allegedly rushed the stage. Security escorted panelists out and the event concluded early.",None.,"['https://www.instagram.com/p/DA86jl0PSw7/', 'https://www.thefp.com/p/law-student-pace-university-title-ix-prop-1-expulsion']",672a879474b8a40315bfccbe
2024,Pace University,Secular,David Skjerli,Campus Speech,Gender,"Faculty, Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Skjerli (with Houston Porter) moderated a panel featuring Tricia Lindsay, Bobbie Anne Cox, and Gina Arena on “Saving Women’s Sports."" The panel sponsored by the campus chapter of the Federalist Society. The event began civily with 45 minutes of discussion, but during the Q&amp;A students and faculty began yelling at the panelists. One faculty member allegedly rushed the stage. Security escorted panelists out and the event concluded early.",None.,"['https://www.instagram.com/p/DA86jl0PSw7/', 'https://www.thefp.com/p/law-student-pace-university-title-ix-prop-1-expulsion']",672a8800c2b8fd02d06c502c
2024,Pace University,Secular,Houston Porter,Campus Speech,Gender,"Faculty, Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Porter (with David Skjerli) moderated a panel featuring Tricia Lindsay, Bobbie Anne Cox, and Gina Arena on “Saving Women’s Sports."" The panel sponsored by the campus chapter of the Federalist Society. The event began civily with 45 minutes of discussion, but during the Q&amp;A students and faculty began yelling at the panelists. One faculty member allegedly rushed the stage. Security escorted panelists out and the event concluded early.",None.,"['https://www.instagram.com/p/DA86jl0PSw7/', 'https://www.thefp.com/p/law-student-pace-university-title-ix-prop-1-expulsion']",672a88d1aa30aa02f5ca9232
