Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2024,Towson University,Public,Omar Shakir,Campus Speech,Israeli-Palestinian Conflict,Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"A professor in the department of history invited Shakir, the Director of the Israel and Palestine Country Director at Human Rights Watch, to speak on campus. After Shakir's talk was announced, the executive director of the Baltimore Zionist District called on the members of their organization to ""Call the President NOW and demand the event be canceled."" Shakir spoke successfully on campus.","Neutral. In a statement the unversity president said: ""I'm sorry if they feel that way but I think people do have a right to express their point of view whether we agree with or not agree with it. We are a public university, this is a public place and that's important. I myself am of the Jewish faith and of course I take exception to anti-Semitism, it's abhorrent. We certainly aren't condoning hate speech and hateful kinds of things being said.""","['https://foxbaltimore.com/news/tiktok/activists-lecture-sparks-backlash-claims-of-anti-semitism-at-towson-university', 'https://www.instagram.com/caren_leven/p/DB9ZM5URHO2/', 'https://x.com/thewebbie/status/1853221356340470165']",672a894374b8a40315c00502
2024,Binghamton University,Public,Amy Wax,Other,"Political Views, Race",Student Group(s),From the Left,No,No,Canceled,No,"Wax, a law professor at the University of Pennsylvania, was invited to appear on “The World According to Bob and Andy,” a weekly radio show on the university's student-run radio station. Ten minutes before Wax's appearance the hosts were informed that the radio station's E-Board had voted to cancel the interview because ""the proposed interview did not meet [the] station’s goals of providing content by and for Binghamton students and community members.” Wax did not appear and the hosts discussed the upcoming presidential election and censorship on college campuses instead.",None.,"['https://www.bupipedream.com/news/whrw-blocks-interview-with-amy-wax-the-suspended-upenn-professor/159085/', 'https://www.instagram.com/bupipedream/p/DCJ_FdMPWTe/', 'https://ground.news/article/whrw-blocks-interview-with-amy-wax-the-suspended-upenn-professor']",673e35e28f4ed702d321aea5
2024,Barnard College,Secular,Israelism,Cinema,"Israeli-Palestinian Conflict, Race",Administrator(s),From the Right,No,No,Postponed,Yes,"Students, a faculty member, and staff organized a screening of the film to be followed by a panel discussion moderated by Yannik Thiem and featuring Nadia Saah, Helga Tawil-Souri, Rachel Kahn-Troster, and Simone Zimmerman. A few weeks before the screening and panel were scheduled to take place, the college's president asked the faculty member helping organizing the event to ""pause the film"" over concerns that the film is ""antisemitic"" and that the college could be facing a Title VI investigation. When the faculty member decided to hold the panel without screening the film, the college informed he she could screen the film but also asked her to ""ensure that audience reactions and the ensuing panel discussion will remain respectful and inclusive at all times and devoid of any discrimination or hate speech."" The film was screened and the panel was held successfully.","Disingenuous.  A college spokesperson said that the film screening and panel ultimately ""took place in February, consistent with our longstanding practice of allowing professors and academic departments to host events that represent a wide range of perspectives.""","['https://jewishcurrents.org/civil-rights-law-pro-palestine-speech-israel-trump', 'https://www.columbiaspectator.com/news/2024/02/07/jewish-students-and-faculty-hold-israelism-screening-event-following-initial-cancellation/', 'https://www.columbiaspectator.com/opinion/2024/02/02/banned-then-backtracked/']",673e41b71b625202c974a5da
2024,Barnard College,Secular,Simone Zimmerman,Campus Speech,"Israeli-Palestinian Conflict, Race",Administrator(s),From the Right,No,No,Postponed,Yes,"Zimmerman was scheduled to appear on a panel (along with Nadia Saah, Helga Tawil-Souri, and Rachel Kahn-Troster, with Yannik Thiem as the moderator) after a screening of the film Israelism. A few weeks before the screening and panel were scheduled to take place, the college's president asked the faculty member helping organizing the event to ""pause the film"" over concerns that the film is ""antisemitic"" and that the college could be facing a Title VI investigation. When the faculty member decided to hold the panel without screening the film, the college informed he she could screen the film but also asked her to ""ensure that audience reactions and the ensuing panel discussion will remain respectful and inclusive at all times and devoid of any discrimination or hate speech."" The film was screened and the panel was held successfully.","Disingenuous. A college spokesperson said that the film screening and panel ultimately ""took place in February, consistent with our longstanding practice of allowing professors and academic departments to host events that represent a wide range of perspectives.""","['https://jewishcurrents.org/civil-rights-law-pro-palestine-speech-israel-trump', 'https://www.columbiaspectator.com/news/2024/02/07/jewish-students-and-faculty-hold-israelism-screening-event-following-initial-cancellation/', 'https://www.columbiaspectator.com/opinion/2024/02/02/banned-then-backtracked/']",673e420a91a3f102c951b422
2024,Barnard College,Secular,Nadia Saah,Campus Speech,"Israeli-Palestinian Conflict, Race",Administrator(s),From the Right,No,No,Postponed,Yes,"Saah was scheduled to appear on a panel (along with Simone Zimmerman, Helga Tawil-Souri, and Rachel Kahn-Troster, with Yannik Thiem as the moderator) after a screening of the film Israelism. A few weeks before the screening and panel were scheduled to take place, the college's president asked the faculty member helping organizing the event to ""pause the film"" over concerns that the film is ""antisemitic"" and that the college could be facing a Title VI investigation. When the faculty member decided to hold the panel without screening the film, the college informed he she could screen the film but also asked her to ""ensure that audience reactions and the ensuing panel discussion will remain respectful and inclusive at all times and devoid of any discrimination or hate speech."" The film was screened and the panel was held successfully.","Disingenuous. A college spokesperson said that the film screening and panel ultimately ""took place in February, consistent with our longstanding practice of allowing professors and academic departments to host events that represent a wide range of perspectives.""","['https://jewishcurrents.org/civil-rights-law-pro-palestine-speech-israel-trump', 'https://www.columbiaspectator.com/news/2024/02/07/jewish-students-and-faculty-hold-israelism-screening-event-following-initial-cancellation/', 'https://www.columbiaspectator.com/opinion/2024/02/02/banned-then-backtracked/']",673e4254acaa050297a40e1d
2024,Barnard College,Secular,Helga Tawil-Souri,Campus Speech,"Israeli-Palestinian Conflict, Race",Administrator(s),From the Right,No,No,Postponed,Yes,"Tawil-Souri was scheduled to appear on a panel (along with Nadia Saah, Simone Zimmerman, and Rachel Kahn-Troster, with Yannik Thiem as the moderator) after a screening of the film Israelism. A few weeks before the screening and panel were scheduled to take place, the college's president asked the faculty member helping organizing the event to ""pause the film"" over concerns that the film is ""antisemitic"" and that the college could be facing a Title VI investigation. When the faculty member decided to hold the panel without screening the film, the college informed he she could screen the film but also asked her to ""ensure that audience reactions and the ensuing panel discussion will remain respectful and inclusive at all times and devoid of any discrimination or hate speech."" The film was screened and the panel was held successfully.","Disingenuous. A college spokesperson said that the film screening and panel ultimately ""took place in February, consistent with our longstanding practice of allowing professors and academic departments to host events that represent a wide range of perspectives.""","['https://jewishcurrents.org/civil-rights-law-pro-palestine-speech-israel-trump', 'https://www.columbiaspectator.com/news/2024/02/07/jewish-students-and-faculty-hold-israelism-screening-event-following-initial-cancellation/', 'https://www.columbiaspectator.com/opinion/2024/02/02/banned-then-backtracked/']",673e42a8c81dec03199fd9a0
2024,Barnard College,Secular,Rachel Kahn-Troster,Campus Speech,"Israeli-Palestinian Conflict, Race",Administrator(s),From the Right,No,No,Postponed,Yes,"Kahn-Troster was scheduled to appear on a panel (along with Nadia Saah, Helga Tawil-Souri, and Simone Zimmerman, with Yannik Thiem as the moderator) after a screening of the film Israelism. A few weeks before the screening and panel were scheduled to take place, the college's president asked the faculty member helping organizing the event to ""pause the film"" over concerns that the film is ""antisemitic"" and that the college could be facing a Title VI investigation. When the faculty member decided to hold the panel without screening the film, the college informed he she could screen the film but also asked her to ""ensure that audience reactions and the ensuing panel discussion will remain respectful and inclusive at all times and devoid of any discrimination or hate speech."" The film was screened and the panel was held successfully.","Disingenuous. A college spokesperson said that the film screening and panel ultimately ""took place in February, consistent with our longstanding practice of allowing professors and academic departments to host events that represent a wide range of perspectives.""","['https://jewishcurrents.org/civil-rights-law-pro-palestine-speech-israel-trump', 'https://www.columbiaspectator.com/news/2024/02/07/jewish-students-and-faculty-hold-israelism-screening-event-following-initial-cancellation/', 'https://www.columbiaspectator.com/opinion/2024/02/02/banned-then-backtracked/']",673e42f3c81dec03199fdc67
2024,Barnard College,Secular,Yannik Thiem,Campus Speech,"Israeli-Palestinian Conflict, Race",Administrator(s),From the Right,No,No,Postponed,Yes,"Thiem was scheduled to moderate a panel (featuring Nadia Saah, Helga Tawil-Souri, Rachel Kahn-Troster, and Simone Zimmerman) after a screening of the film Israelism. A few weeks before the screening and panel were scheduled to take place, the college's president asked the faculty member helping organizing the event to ""pause the film"" over concerns that the film is ""antisemitic"" and that the college could be facing a Title VI investigation. When the faculty member decided to hold the panel without screening the film, the college informed he she could screen the film but also asked her to ""ensure that audience reactions and the ensuing panel discussion will remain respectful and inclusive at all times and devoid of any discrimination or hate speech."" The film was screened and the panel was held successfully.","Disingenuous. A college spokesperson said that the film screening and panel ultimately ""took place in February, consistent with our longstanding practice of allowing professors and academic departments to host events that represent a wide range of perspectives.""","['https://jewishcurrents.org/civil-rights-law-pro-palestine-speech-israel-trump', 'https://www.columbiaspectator.com/news/2024/02/07/jewish-students-and-faculty-hold-israelism-screening-event-following-initial-cancellation/', 'https://www.columbiaspectator.com/opinion/2024/02/02/banned-then-backtracked/']",673e433bc81dec03199fdfb9
2024,"Loyola University, Chicago",Religious,Josh Hammer,Campus Speech,Israeli-Palestinian Conflict,"Faculty, Student Group(s), Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Hammer's debate with Professor John Dehn was interrupted by pro-Palestinian protesters affiliated with the campus’s Students for Justice in Palestine (SJP) chapter. Hammer, who planned to speak about presidential immunity, was met with disruptive actions and personal accusations by attendees. After Hammer made a remark about needing to take the ""trash"" out and told the protesters that he ""hope[d] their beepers don't go off,"" Dehn ended the event prematurely. Hammer later described the experience on X as harassment based on his Jewish identity and pro-Israel stance.",None.,"['https://www.thecollegefix.com/loyola-cancels-jewish-speaker-after-pro-palestinian-disruption/', 'https://x.com/josh_hammer/status/1852346308679590296', 'https://www.instagram.com/luclawstudents/p/DBzm-dAvbTd/?img_index=1', 'https://cdn.prod.website-files.com/65a5dbf7ffda034a47a316a2/6723edb8ab23a00511a2dcac_LUC%20Student%20Bar%20Statement.jpeg', 'https://www.article3project.org/post/a3p-statement-on-loyola-chicago-law-student-mobs-attempt-to-silence-senior-counsel-josh-hammer', 'https://www.iheart.com/podcast/867-america-on-trial-with-josh-146850984/episode/november-1st-2024-what-happens-to-233676719/']",6758654f6f032002b70d683b
2024,East Tennessee State University,Public,Evolution,Artwork,"Political Views, Religion","General Public, Politician(s), Student(s)",From the Right,No,No,Substantial Event Disruption,Not Applicable,"A member of Congress, multiple state senators, members of the general public, and students at the university objected to the FL3TCHER EXHIBIT at the university's Reece Museum for featuring Evolution (and other artwork), a ""hateful"" and ""divisve"" piece of art. Evolution features Speaker of the House Mike Johnson in front of a swastika morphing into a cross. In response the university asked visitors to sign a liability waiver before entering the exhibit, and added curtains and content warnings to the exhibit.","Condemned Expression.  In a statement the university president said: ""I am aware of the concerns that have been raised about works selected to appear in this year’s FL3TCHER EXHIBIT on display in the Reece Museum. As a Christian and the son of a veteran, I can say that I personally find some of the views expressed in this year’s exhibit abhorrent. However, as the president of a public university, which is bound by the laws of the State of Tennessee as well as the U.S. Constitution, I must ensure that our university adheres to state and federal law. I am working to gain more information, and we will undertake an examination of the process through which we allow guest artists, speakers, and other third-party groups to present information on campus.""","['https://www.wjhl.com/news/local/art-exhibit-at-etsus-reece-museum-draws-controversy/', 'https://www.campusreform.org/article/east-tennessee-state-university-art-exhibit-displays-nazi-swastikas-morphing-christian-crosses-features-house-speaker-mike-johnson/26873', 'https://www.campusreform.org/article/etsu-president-resists-congressional-pressure-maintains-controversial-art-exhibit-depicting-mike-johnson-nazi-new-waiver-requirement-viewing-exclusive/26929', 'https://hyperallergic.com/970430/museum-limits-entry-to-exhibition-criticized-by-republicans/', 'https://www.insidehighered.com/news/faculty-issues/academic-freedom/2024/12/09/campus-museum-required-waivers-view-anti-fascist', 'https://tennesseeconservativenews.com/conservative-pushback-prompts-publicly-funded-tennessee-university-to-require-signing-waivers-to-view-controversial-art/']",67586c24d5a46402cc8c7b03
2024,East Tennessee State University,Public,Patriot,Artwork,"Political Views, Religion","General Public, Politician(s), Student(s)",From the Right,No,No,Substantial Event Disruption,Not Applicable,"A member of Congress, multiple state senators, members of the general public, and students at the university objected to the FL3TCHER EXHIBIT at the university's Reece Museum for featuring Patriot (and other artwork), a ""hateful"" and ""divisve"" piece of art. Patriot features an American flag made from a Ku Klux Klan hood. In response the university asked visitors to sign a liability waiver before entering the exhibit, and added curtains and content warnings to the exhibit.","Condemned Expression.  In a statement the university president said: ""After consultation with legal counsel, I cannot, in good faith, censor this exhibit because doing so would run counter to the duties of the Office of the President to uphold the laws of the State of Tennessee. The exhibit will be partitioned off with warning signs posted that note its handling of disturbing, divisive, sensitive, and mature subjects. Individuals will be allowed to observe the exhibit only after reviewing and signing a waiver. The divisive and hateful messages and images present in this exhibit run counter to [the university’s] values, and I personally find some of the ideas expressed to be deeply offensive and simply despicable.""","['https://www.wjhl.com/news/local/art-exhibit-at-etsus-reece-museum-draws-controversy/', 'https://www.campusreform.org/article/east-tennessee-state-university-art-exhibit-displays-nazi-swastikas-morphing-christian-crosses-features-house-speaker-mike-johnson/26873', 'https://www.campusreform.org/article/etsu-president-resists-congressional-pressure-maintains-controversial-art-exhibit-depicting-mike-johnson-nazi-new-waiver-requirement-viewing-exclusive/26929', 'https://hyperallergic.com/970430/museum-limits-entry-to-exhibition-criticized-by-republicans/', 'https://www.insidehighered.com/news/faculty-issues/academic-freedom/2024/12/09/campus-museum-required-waivers-view-anti-fascist', 'https://tennesseeconservativenews.com/conservative-pushback-prompts-publicly-funded-tennessee-university-to-require-signing-waivers-to-view-controversial-art/']",67586cbbfaed0e02dbf47391
2024,East Tennessee State University,Public,It's All Connected,Artwork,"Political Views, Religion","General Public, Politician(s), Student(s)",From the Right,No,No,Substantial Event Disruption,Not Applicable,"A member of Congress, multiple state senators, members of the general public, and students at the university objected to the FL3TCHER EXHIBIT at the university's Reece Museum for featuring It's All Connected (and other artwork), a ""hateful"" and ""divisve"" piece of art. It's All Connected is a collage that features ""violent"" messaages from members of the alt-right. In response the university asked visitors to sign a liability waiver before entering the exhibit, and added curtains and content warnings to the exhibit.","Condemned Expression.  In a statement the university president said: ""After consultation with legal counsel, I cannot, in good faith, censor this exhibit because doing so would run counter to the duties of the Office of the President to uphold the laws of the State of Tennessee. The exhibit will be partitioned off with warning signs posted that note its handling of disturbing, divisive, sensitive, and mature subjects. Individuals will be allowed to observe the exhibit only after reviewing and signing a waiver. The divisive and hateful messages and images present in this exhibit run counter to [the university’s] values, and I personally find some of the ideas expressed to be deeply offensive and simply despicable.""","['https://www.wjhl.com/news/local/art-exhibit-at-etsus-reece-museum-draws-controversy/', 'https://www.campusreform.org/article/east-tennessee-state-university-art-exhibit-displays-nazi-swastikas-morphing-christian-crosses-features-house-speaker-mike-johnson/26873', 'https://www.campusreform.org/article/etsu-president-resists-congressional-pressure-maintains-controversial-art-exhibit-depicting-mike-johnson-nazi-new-waiver-requirement-viewing-exclusive/26929', 'https://hyperallergic.com/970430/museum-limits-entry-to-exhibition-criticized-by-republicans/', 'https://www.insidehighered.com/news/faculty-issues/academic-freedom/2024/12/09/campus-museum-required-waivers-view-anti-fascist', 'https://tennesseeconservativenews.com/conservative-pushback-prompts-publicly-funded-tennessee-university-to-require-signing-waivers-to-view-controversial-art/']",67586dad5d85d80302d2ebbb
2024,"University of Michigan, Ann Arbor",Public,Marc Dollinger,Campus Speech,Israeli-Palestinian Conflict,"Student Group(s), Student(s)",From the Left,No,No,Attempted Disruption,Not Applicable,"Dollinger, a professor of Jewish history at San Francisco State University, was inviggted by the university's Judaic Studies Department to talk about his book ""Black Power, Jewish Politics,"" that analyzes the relationship between Jewish and Black political activism during the Civil Rights Movement. During Dollinger's talk, masked students began shouting ""Dolling, you can't hide!"" and  ""Zionism is a crime!"" A faculty member attempted to engage with the protesters and campus police were called. The protesters left before campus polce arrived and Dollinger resumed his talk and completed it.","Honors.  In an official statement the university administration said: ""On November 19, a group of face-masked individuals attempted to shout down a speaker invited to the University of Michigan by the Frankel Center for Judicial Studies. Though the talk did not include a pro-Israel message nor did it involve controversial issues related to the crisis in the Middle East, the event was disrupted by individuals who shouted “You can’t hide, Zionism is a crime,” and “We don’t do dialogue with Zionists. Get off our campus.” The speaker is Jewish and was discussing the history of Jews. Shouting down speakers for any reason is unacceptable at the University of Michigan. It violates our academic mission and our commitment to free speech and diversity of thought. Doing so in a way that, in this case, targeted a person because of their Jewish identity is particularly abhorrent and will not be tolerated. The university condemns all forms of discrimination, racism and bias in the strongest possible terms. The actions of the individuals who interrupted this event are a clear instance of antisemitism. The university is working to identify the perpetrators so they can be held accountable.""","['https://jweekly.com/2024/12/02/sfsu-jewish-studies-prof-shouted-down-as-zionist-at-u-of-michigan-lecture/', 'https://x.com/anjewla90/status/1859357088779997419', 'https://www.instagram.com/p/DCxwpP5OU3k/?img_index=1', 'https://publicaffairs.vpcomm.umich.edu/key-issues/interruption-of-frankel-center-for-judicial-studies-event/']",67586faa98200c030c929002
2024,Northeastern University,Secular,Rooted,Artwork,Other,"Student Group(s), Student(s)",Not Applicable,No,Yes,Cancellation Attempt,Not Applicable,"A graduating senior launched a Change.org petition calling on the university to remove Rooted, an outdoor art installation, becasuse it ""is obstructing the natural beauty of our campus and ruining our photos."" The petition garnered over 1,800 signatures and the Student Government Association voted to remove Rooted and called on the university to consult with students about any future public art projects. The university has not removed the art installation.",None.,"['https://huntnewsnu.com/81825/campus/sga-votes-to-remove-art-installation-rooted-from-krentzman-quad/', 'https://www.change.org/p/request-northeastern-university-to-remove-the-art-exhibit-in-krentzman-quad', 'https://www.boston.com/news/arts/2024/12/03/northeastern-students-call-for-removal-outdoor-art-installation-rooted/']",675871dc5d85d80302d30a92
2024,"University of Texas, Dallas",Public,Derrick Morgan,Campus Speech,"Gender, Immigration, Political Views, Race, Sexuality","Student Group(s), Student(s)",From the Left,No,No,Disinvitation Attempt,Not Applicable,"Morgan, the executive vice president of the Heritage Foundation and an alumnus of the university, was invited by the School of Economic, Political, and Policy Sciences to discuss the results of the 2024 presidential election. Multiple student groups, including Texas Rising and the Young Democratice Socials of America, objected to Morgan's invitation because of his involvement with Project 2025 and his views on transgender rights, and mounted an email campaign to get the talk canceled. Morgan spoke successfully.","Neutral.  A university spokesperson said: ""We recognize that our community is diverse and holds varying viewpoints. UT Dallas remains committed to fostering an environment that promotes civil discourse, and we encourage our students to respectfully engage with those who hold different perspectives.""","['https://www.wfaa.com/article/news/politics/national-politics/ut-dallas-project-2025-heritage-foundation-transgender-day-of-remembrance/287-b2f3c86c-a7d0-4c01-821c-b635020981ea', 'https://www.instagram.com/utdydsa/p/DCeygXQy8y0/?img_index=1', 'https://www.instagram.com/utdydsa/reel/DCiBQfEPN77/', 'https://www.dallasnews.com/news/education/2024/11/19/ut-dallas-students-plan-protest-of-heritage-foundation-executive-vp-linked-to-project-2025/', 'https://www.dallasobserver.com/news/ut-dallas-hosts-heritage-foundation-exec-who-helped-write-project-2025-21150998', 'https://www.dallasnews.com/news/education/2024/11/20/project-2025-contributor-spoke-at-ut-dallas-students-protested/']",675875a42b5d8603225e5bc4
2024,University of Arizona,Public,Queers Demand Justice: A Saftey Spell for Queer Palestinians,Artwork,Israeli-Palestinian Conflict,Politician(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"A state senator held up the university's ability to borrow money to construct a new facility on campus that would house the university's TV and radio stations, and to rennovate part of a health science building because he considered the painting, Queers Demand Justice: A Saftey Spell for Queer Palestinians, offensive and demanded the university remove the painting. The university refused and the exhibit closed at the end of the week.",None.,"['https://www.fhtimes.com/stories/fountain-hills-legislator-holding-up-funds-for-uofa-over-palestinian-painting,553146', 'https://www.instagram.com/jewishbreakingnews/p/DCmcxj-pL4N/', 'https://www.instagram.com/az2palestine/p/DDkMNK4v5T9/', 'https://www.campusreform.org/article/university-arizona-art-museum-displayed-from-river-sea-drawing/27190']",67925152d299c102aa224f90
